iter	PRAUC	Logloss
102	0.9967761559	0.1135592563
103	0.9968040653	0.112814174
104	0.9968883537	0.11162321
105	0.9970359213	0.1105954153
106	0.9971061218	0.1097460484
107	0.9971210765	0.1090251671
108	0.9971989983	0.1082680342
109	0.9971992199	0.1077630664
110	0.997251423	0.1071810218
111	0.9973095504	0.1064588364
112	0.9973994828	0.1055704961
113	0.9974695402	0.1048942022
114	0.9975184632	0.1041996142
115	0.9975784064	0.1032203955
116	0.9976338986	0.102476648
117	0.9978279713	0.1012262203
118	0.9979275858	0.1003128706
119	0.9980064098	0.09969077237
120	0.9981581716	0.09880241114
121	0.998217775	0.09792193605
122	0.9982589176	0.09722869068
123	0.9982849099	0.09647516635
124	0.9983362151	0.09567933839
125	0.9983875473	0.09502976564
126	0.9983948712	0.09437377419
127	0.9984376533	0.09350149891
128	0.9985221241	0.09252649104
129	0.9985688143	0.09167974178
130	0.9986098652	0.0909975958
131	0.9986707973	0.09020863714
132	0.9987286817	0.08926767546
133	0.9987902646	0.0882555561
134	0.9988137827	0.08779801599
135	0.9988227252	0.08747546694
136	0.9988971086	0.08676739202
137	0.9989164463	0.08577679113
138	0.9989493942	0.08527684224
139	0.998995147	0.08455944564
140	0.9990023838	0.08400247151
141	0.9991011677	0.08310413726
142	0.999113467	0.08249015155
143	0.9991409652	0.08194024926
144	0.9991644231	0.08124675957
145	0.9991796834	0.08045400359
146	0.9991975902	0.07976199425
147	0.9991945485	0.07912594307
148	0.999288096	0.07826910581
149	0.9993053539	0.07729290492
150	0.9993225178	0.07667470735
151	0.9993355883	0.07610272772
152	0.9993584327	0.07538574674
153	0.9993646406	0.07480128609
154	0.9993655898	0.07443935352
155	0.9993785769	0.07376675566
156	0.9993939382	0.07327049225
157	0.9994164569	0.07283465323
158	0.9994430289	0.07243536576
159	0.9994812903	0.07174735393
160	0.9994976166	0.07114932549
161	0.9995091719	0.07062760414
162	0.9995154919	0.06989105017
163	0.9995386341	0.06939100137
164	0.9995525819	0.06893710531
165	0.9995585239	0.06835575186
166	0.9995763045	0.0677124739
167	0.9995776635	0.06691276763
168	0.9995865435	0.06645213535
169	0.9996166206	0.06594021513
170	0.9996207722	0.06540220429
171	0.9996337116	0.06469309546
172	0.9996420587	0.06438278912
173	0.9996447819	0.06398735399
174	0.9996538515	0.06337727302
175	0.9996615205	0.06302447077
176	0.9996822685	0.06212253329
177	0.9996900413	0.06182441972
178	0.9996949599	0.06138458361
179	0.9997024091	0.06081871304
180	0.9997041636	0.06029141515
181	0.99970767	0.05976917681
182	0.9997172758	0.05901406833
183	0.9997255746	0.05845418696
184	0.9997379883	0.0580808674
185	0.999781492	0.0575190698
186	0.9997908175	0.05722229609
187	0.9997865549	0.05688953758
188	0.9997931676	0.05633214124
189	0.9998019056	0.05595626654
190	0.9997921171	0.05528757567
191	0.9997899675	0.0549233037
192	0.9998074011	0.05441885194
193	0.9998238333	0.05365476243
194	0.9998222313	0.05326947636
195	0.9998248088	0.05284407455
196	0.9998388262	0.05270097619
197	0.9998513727	0.05243436606
198	0.9998538924	0.05188366698
199	0.9998635104	0.05136781744
200	0.9998774291	0.05067318194
201	0.9998771065	0.05021008513
202	0.9998803622	0.04993881442
203	0.9998787375	0.04929525402
204	0.9998944421	0.04883578978
205	0.999907059	0.04838025359
206	0.9999035335	0.04789498484
207	0.9999091983	0.04764818577
208	0.9999135404	0.04733927068
209	0.9999148043	0.04681799868
210	0.9999186456	0.0463912621
211	0.9999229499	0.04595656789
212	0.9999242187	0.04553965039
213	0.9999331843	0.04525161048
214	0.999947713	0.04493057803
215	0.9999475475	0.04469616529
216	0.9999448473	0.044295268
217	0.9999434071	0.04398237039
218	0.9999491385	0.04391048631
219	0.9999518241	0.04353793971
220	0.9999504035	0.04304094177
221	0.99995324	0.0428304905
222	0.99995324	0.0423085228
223	0.9999574591	0.04201777956
224	0.9999602484	0.04169582135
225	0.9999698671	0.0412515732
226	0.9999766048	0.040892911
227	0.9999766048	0.04061241858
228	0.9999805959	0.04016198768
229	0.9999805959	0.0399774179
230	0.9999805959	0.03964724406
231	0.9999792698	0.03938044018
232	0.9999819179	0.03916994281
233	0.9999832357	0.03896277961
234	0.9999832357	0.03870308816
235	0.9999832357	0.03831776514
236	0.9999858589	0.03797133355
237	0.9999871644	0.03775227854
238	0.9999884658	0.03736606856
239	0.9999897632	0.03699483115
240	0.999992346	0.03669639115
241	0.999992346	0.03640690562
242	0.9999936314	0.03603292627
243	0.9999936314	0.03572614823
244	0.9999974642	0.03550234923
245	0.9999974642	0.03533364759
246	0.9999974642	0.03501182793
247	0.9999974642	0.03466355914
248	0.999998734	0.03441522989
249	0.999998734	0.0341059166
250	0.999998734	0.03394016274
251	0.999998734	0.03374059365
252	0.999998734	0.03344362693
253	1	0.03318055503
254	1	0.03287765465
255	1	0.03248937932
256	1	0.03221798041
257	1	0.03207018075
258	1	0.0318504125
259	1	0.03163420023
260	1	0.03134389285
261	1	0.03106115983
262	1	0.03083713006
263	1	0.03056050259
264	1	0.03038613734
265	1	0.03010610894
266	1	0.0298439213
267	1	0.02966748587
268	1	0.02946731974
269	1	0.029283651
270	1	0.02908756034
271	1	0.02883045089
272	1	0.02861502123
273	1	0.02839692972
274	1	0.02816022261
275	1	0.02795922583
276	1	0.02778748065
277	1	0.027633859
278	1	0.0273684241
279	1	0.02713273473
280	1	0.026882249
281	1	0.02675219625
282	1	0.02663985011
283	1	0.02649476355
284	1	0.02626042674
285	1	0.02607604155
286	1	0.02584120172
287	1	0.02561555605
288	1	0.02544267778
289	1	0.02526288986
290	1	0.02506759227
291	1	0.02499717605
292	1	0.02487367935
293	1	0.02464366335
294	1	0.02448441866
295	1	0.02433012499
296	1	0.02416970025
297	1	0.02407002847
298	1	0.02396042419
299	1	0.02383791776
300	1	0.02362093959
301	1	0.02352652526
302	1	0.02328012942
303	1	0.02323463311
304	1	0.02315169803
305	1	0.02311425438
306	1	0.02286988136
307	1	0.02275640955
308	1	0.02259633538
309	1	0.02241008229
310	1	0.02230596504
311	1	0.02217623325
312	1	0.02204937682
313	1	0.02185011163
314	1	0.0217236848
315	1	0.02157244991
316	1	0.02140929
317	1	0.02132866147
318	1	0.02112927434
319	1	0.02094994006
320	1	0.02092435966
321	1	0.02074864119
322	1	0.02052053295
323	1	0.02039999123
324	1	0.02028054012
325	1	0.02020373156
326	1	0.02009890447
327	1	0.01998284613
328	1	0.01984890837
329	1	0.01978786679
330	1	0.01966703774
331	1	0.01954091401
332	1	0.01944107522
333	1	0.01926574324
334	1	0.0191730295
335	1	0.01903142696
336	1	0.01886441384
337	1	0.01872676359
338	1	0.01861275573
339	1	0.01855974203
340	1	0.01843267728
341	1	0.01836084304
342	1	0.01818110611
343	1	0.01808613279
344	1	0.01798582038
345	1	0.01780811876
346	1	0.01771981284
347	1	0.01758001277
348	1	0.01745694125
349	1	0.01733251906
350	1	0.01726711155
351	1	0.01712038595
352	1	0.0170244961
353	1	0.01693574187
354	1	0.01687832145
355	1	0.01680058324
356	1	0.0166494851
357	1	0.01652018019
358	1	0.01635390757
359	1	0.01624490513
360	1	0.01614155018
361	1	0.01606124374
362	1	0.0160450722
363	1	0.01593342141
364	1	0.01582520901
365	1	0.01577793719
366	1	0.01569709617
367	1	0.01563338943
368	1	0.01558628755
369	1	0.01551620774
370	1	0.01543409906
371	1	0.0153420843
372	1	0.01528124523
373	1	0.01518922419
374	1	0.0151080913
375	1	0.01501250428
376	1	0.01487718066
377	1	0.01477667455
378	1	0.01469706879
379	1	0.01461032125
380	1	0.01455392517
381	1	0.01444947765
382	1	0.01436509714
383	1	0.01426209246
384	1	0.01414640906
385	1	0.01405704182
386	1	0.01396051698
387	1	0.01385272335
388	1	0.01376944532
389	1	0.01370921767
390	1	0.0136037249
391	1	0.01353042923
392	1	0.01345066461
393	1	0.01340313144
394	1	0.01334898046
395	1	0.01325860135
396	1	0.01318217111
397	1	0.01312269553
398	1	0.01306260513
399	1	0.01295671395
400	1	0.01286911249
401	1	0.01280760953
402	1	0.01271011721
403	1	0.01262251437
404	1	0.01252591273
405	1	0.01246363809
406	1	0.01239861828
407	1	0.01234034206
408	1	0.01225497687
409	1	0.0122142712
410	1	0.01216744753
411	1	0.01210786043
412	1	0.01202935295
413	1	0.01201080401
414	1	0.01195376368
415	1	0.01191130296
416	1	0.0118482574
417	1	0.01181902591
418	1	0.01174117482
419	1	0.01167920707
420	1	0.01163067807
421	1	0.01158110214
422	1	0.01153189163
423	1	0.01149335823
424	1	0.01143326923
425	1	0.01137167284
426	1	0.01131753381
427	1	0.01125037179
428	1	0.01121249939
429	1	0.01114251026
430	1	0.011088017
431	1	0.01101001433
432	1	0.01094486092
433	1	0.01090920528
434	1	0.01083391726
435	1	0.01081636104
436	1	0.01078439023
437	1	0.01073415233
438	1	0.01065466605
439	1	0.01060085029
440	1	0.01054516423
441	1	0.01053675799
442	1	0.01046988062
443	1	0.01041749737
444	1	0.01039931109
445	1	0.01033164251
446	1	0.01030899177
447	1	0.01021259249
448	1	0.01015676287
449	1	0.0100811117
450	1	0.01002689127
451	1	0.009957757507
452	1	0.009907570537
453	1	0.009848520957
454	1	0.009799920128
455	1	0.009738460442
456	1	0.009704026474
457	1	0.009655750327
458	1	0.009572238074
459	1	0.009512371854
460	1	0.009441800373
461	1	0.00938194658
462	1	0.009357410484
463	1	0.009294968725
464	1	0.009258422605
465	1	0.009180796774
466	1	0.009145145022
467	1	0.009094055383
468	1	0.009063811553
469	1	0.009037311838
470	1	0.008989091423
471	1	0.008951281185
472	1	0.008919482183
473	1	0.008891603837
474	1	0.008866629554
475	1	0.008834414524
476	1	0.008786160452
477	1	0.008724018721
478	1	0.008695238322
479	1	0.008653959466
480	1	0.008587460034
481	1	0.00854463048
482	1	0.008508867272
483	1	0.008485829876
484	1	0.008440365524
485	1	0.008425670981
486	1	0.008382972935
487	1	0.008362602518
488	1	0.008320520764
489	1	0.008290438075
490	1	0.008269037229
491	1	0.008234163345
492	1	0.008204753512
493	1	0.008152377366
494	1	0.008103645472
495	1	0.008083668951
496	1	0.008062805189
497	1	0.008034792352
498	1	0.00798588462
499	1	0.007951457184
