rank,channel_index,probability,true_label
1,10370,0.9332969197030884,0
2,14376,0.9322621618635635,1
3,2869,0.9316598313718256,0
4,8066,0.9312004180441006,0
5,1620,0.9311006944529987,1
6,11392,0.9310981199966724,1
7,18409,0.9305678673636333,1
8,10056,0.929711256420805,1
9,14899,0.9295515064738992,0
10,14925,0.9288565906755225,0
11,14924,0.9285629482685704,1
12,2054,0.9273173107052107,1
13,5946,0.9269589379909955,1
14,13998,0.9268817119102486,0
15,9674,0.9264086808951366,0
16,3636,0.9264047909533075,1
17,15555,0.9260670040607937,0
18,9198,0.925012240988845,0
19,16418,0.9247872212642598,0
20,4669,0.9242707224320319,1
21,7593,0.9232869018067136,0
22,16650,0.9230611224954203,0
23,10938,0.9229682552564543,1
24,4290,0.9229077767216953,0
25,14971,0.9228812549677781,1
26,14003,0.9228488710926342,0
27,11575,0.922447412286132,1
28,265,0.9224108876945881,1
29,16776,0.9223482019152268,0
30,11576,0.9218733932445974,1
31,15944,0.9218603545067704,0
32,9205,0.9211978979425041,0
33,9467,0.9204643034217677,0
34,18586,0.9192953537244375,1
35,16521,0.9191970692876404,1
36,3906,0.9191774171532178,1
37,12256,0.9187594406570753,1
38,16856,0.9179303664870081,1
39,14926,0.9178865568148838,0
40,4170,0.9178837058442819,1
41,7028,0.9178359669019979,1
42,7401,0.9174268760495852,1
43,6072,0.9170402865422165,0
44,7090,0.9167595992697507,0
45,5137,0.916743489694604,1
46,11855,0.9166511224722452,1
47,11618,0.9163248029555833,0
48,10343,0.9158500346082872,1
49,15359,0.9154496747432784,0
50,11705,0.9153889922550776,0
51,18660,0.9151199831904738,1
52,16383,0.9150959273564712,0
53,13369,0.9142731438205497,1
54,11702,0.9139322344638859,0
55,11409,0.9139122137147865,0
56,16891,0.913879743693434,1
57,16572,0.9131418489541974,1
58,7399,0.9129205258977402,0
59,5074,0.912404447187186,1
60,274,0.9123126733059181,1
61,16990,0.9122399465598615,1
62,9584,0.911310035010703,0
63,2470,0.9098168994185633,0
64,2784,0.9092934198682845,1
65,9704,0.9085043573580427,0
66,4480,0.9084458559743197,0
67,8952,0.9084367943429748,1
68,4908,0.9084341560316928,1
69,15636,0.9082270002458235,1
70,1696,0.9080080638269515,1
71,18270,0.9076293729662502,0
72,6396,0.9067253614246654,1
73,16103,0.9066616704739993,0
74,5453,0.9064907272978974,1
75,4443,0.9059280957747153,1
76,6411,0.9057265866830295,0
77,6313,0.9054083339212148,0
78,3563,0.9052406983244294,0
79,15516,0.9051714151552945,0
80,10363,0.9049457687505496,1
81,17872,0.9047011966325099,0
82,4319,0.9040559161626345,0
83,3509,0.9034738002593585,1
84,16645,0.9016434043637037,1
85,7129,0.9015045741262276,1
86,15540,0.9012679251726065,0
87,16597,0.9008877412350834,0
88,4390,0.9005349188717295,0
89,14910,0.9001629767396558,0
90,5305,0.9001462705983625,0
91,11613,0.8998762159516852,0
92,5822,0.8991145937326849,1
93,12492,0.8988974974276134,1
94,7553,0.8988712608082372,1
95,11706,0.8986560891068431,0
96,7501,0.8985017811977861,1
97,9610,0.8984836847613367,1
98,18535,0.8983489369957239,1
99,17830,0.8981607626743421,0
100,16991,0.897670166537553,1
101,6584,0.8973685337072194,1
102,16985,0.8973094909646616,1
103,17150,0.8971486905362884,1
104,1671,0.8970719950830937,0
105,3939,0.8970185462554006,0
106,17178,0.8963885136154612,1
107,6961,0.8959818239306165,1
108,18539,0.8958361749272016,1
109,8096,0.8957759795849888,0
110,2173,0.895008154758079,0
111,15509,0.8948694149595616,0
112,8327,0.8948582589622114,1
113,16765,0.8948317493897048,1
114,16821,0.8941902548533861,1
115,6301,0.8934483486228493,0
116,768,0.8931958884728651,0
117,14222,0.8930139463856063,0
118,5694,0.8928221813281473,1
119,3762,0.8925913710707476,1
120,16861,0.8925637619692985,1
121,15385,0.8914693207250861,1
122,11710,0.891291724391979,0
123,3513,0.8910473975064781,0
124,160,0.890557189040461,0
125,11579,0.8904325747842728,1
126,9708,0.8899861379487233,0
127,5778,0.8879169050889679,1
128,14906,0.8877409006806443,0
129,9576,0.8876640520224296,0
130,16616,0.8873786358090641,1
131,5072,0.8866377828559395,0
132,11120,0.8857214443074053,0
133,4348,0.8850936261089745,0
134,18161,0.8847138487211178,1
135,11580,0.8844948393043998,1
136,11352,0.8843924420702208,0
137,14927,0.8842278474824415,0
138,2658,0.8840299602644465,1
139,16766,0.8819713034287677,1
140,10811,0.8815562406999885,1
141,3944,0.8811873731373516,0
142,3055,0.8809856179987442,0
143,15641,0.8804728189385549,1
144,7094,0.880224350693307,0
145,13621,0.8801583688298195,1
146,14599,0.8800879171798512,0
147,11535,0.8799006230546613,0
148,16382,0.8793651016838329,0
149,9760,0.879290733343676,1
150,4382,0.8783197715420878,0
151,3188,0.8782014252032296,0
152,11641,0.8781318361300866,0
153,4266,0.8779802934241023,1
154,143,0.877946191952744,0
